"species_temp_cat","intercept","slope","intercept.ciL","slope.ciL","intercept.ciH","slope.ciH","species","test_category3","size_min","size_max","n","temp_min","temp_max","MR"
"Centropristis striata_optimal",0.38,0.49,-1.64,0.15,2.39,0.84,"Centropristis striata","optimal",202,602.3,65,13,24.1,"RMR"
"Centropristis striata_warm",-0.27,0.73,-1.24,0.57,0.7,0.9,"Centropristis striata","warm",193.7,700.4,50,27.4,30.2,"RMR"
"Channa argus_optimal",-0.55,0.31,-1.26,-0.28,0.15,0.89,"Channa argus","optimal",2.8,3.9,8,25,25,"RMR"
"Chromis atripectoralis_warm",-1.17,0.48,-1.67,0.07,-0.67,0.89,"Chromis atripectoralis","warm",1.6,5.51,32,29,35,"RMR"
"Chromis viridis_optimal",-1.06,0.63,-1.46,-0.02,-0.65,1.28,"Chromis viridis","optimal",1.3,2.1,16,29,29,"RMR"
"Chrysoblephus laticeps_optimal",-2.05,0.9,-3.25,0.72,-0.84,1.08,"Chrysoblephus laticeps","optimal",365,1672,33,16,16,"RMR"
"Chrysoblephus laticeps_warm",-1.4,0.9,-3.1,0.65,0.29,1.15,"Chrysoblephus laticeps","warm",365,1672,30,21,24,"RMR"
"Clarias gariepinus_optimal",2.71,-0.56,-1.05,-1.47,6.46,0.34,"Clarias gariepinus","optimal",39.01,88,42,26.5,26.5,"RMR"
"Coryphaena hippurus_optimal",-0.52,0.9,-3.66,0.56,2.61,1.25,"Coryphaena hippurus","optimal",6260,11600,32,20,20.8,"RMR"
"Ctenopharyngodon idella_optimal",-1.18,0.76,-2.11,0.15,-0.25,1.38,"Ctenopharyngodon idella","optimal",2.9,6.7,8,25,25,"RMR"
"Cyprinus carpio_optimal",-1.8,0.9,-2.11,0.82,-1.49,0.97,"Cyprinus carpio","optimal",4.7,225.34,71,25,25,"RMR"
"Dicentrarchus labrax_optimal",-2.47,1.01,-4.25,0.6,-0.69,1.43,"Dicentrarchus labrax","optimal",48.1,100.7,11,16.5,16.5,"RMR"
"Discogobio yunnanensis_optimal",-1.14,0.77,-1.95,0.42,-0.33,1.11,"Discogobio yunnanensis","optimal",8.3,17,8,25,25,"RMR"
"Enteromius neumayeri_optimal",-2.26,0.8,-2.48,0.63,-2.05,0.96,"Enteromius neumayeri","optimal",1.6,6.86,70,18,23,"RMR"
"Forsterygion lapillum_optimal",-1.68,0.61,-1.86,0.41,-1.49,0.81,"Forsterygion lapillum","optimal",1.27,3.81,73,15,21,"RMR"
"Forsterygion lapillum_warm",-1.45,0.76,-1.7,0.44,-1.2,1.08,"Forsterygion lapillum","warm",1.49,3.28,18,24,24,"RMR"
"Fundulus grandis_optimal",-1.93,0.98,-2.09,0.88,-1.78,1.08,"Fundulus grandis","optimal",2.06,8.61,170,25,25,"RMR"
"Fundulus grandis_warm",-1.51,0.89,-1.87,0.64,-1.14,1.14,"Fundulus grandis","warm",2.42,7.1,42,32,32,"RMR"
"Fundulus heteroclitus_optimal",0,0.44,-0.61,0.19,0.6,0.7,"Fundulus heteroclitus","optimal",4.1,20.3,197,12,28,"RMR"
"Fundulus parvipinnis_optimal",-1.14,1.53,-1.67,0.66,-0.62,2.4,"Fundulus parvipinnis","optimal",0.38,1.02,13,19,19,"RMR"
"Gadus morhua_optimal",-3.19,1.14,-4.1,0.92,-2.27,1.35,"Gadus morhua","optimal",21.2,173.6,29,3,12,"RMR"
"Gadus morhua_warm",-2.22,1.05,-5.1,0.45,0.66,1.65,"Gadus morhua","warm",83.2,156.2,5,16,16,"RMR"
"Gambusia holbrooki_optimal",-1.12,0.25,-1.45,-0.84,-0.79,1.34,"Gambusia holbrooki","optimal",0.59,1.22,10,30,30,"RMR"
"Gasterosteus aculeatus_optimal",-2.03,1,-2.09,0.92,-1.97,1.09,"Gasterosteus aculeatus","optimal",0.46,5.75,429,5,20,"RMR"
"Gasterosteus aculeatus_warm",-1.49,0.85,-1.65,0.64,-1.33,1.07,"Gasterosteus aculeatus","warm",1.18,4.18,72,20,20,"RMR"
"Girella nigricans_optimal",-3.58,1.33,-5.19,0.79,-1.98,1.88,"Girella nigricans","optimal",7.96,39.2,32,12,20,"RMR"
"Gobiocypris rarus_optimal",-1.52,0.92,-2.08,-0.9,-0.96,2.74,"Gobiocypris rarus","optimal",1.11,1.52,8,25,25,"RMR"
"Halichoeres melanurus_optimal",-1.46,0.65,-1.69,0.21,-1.22,1.1,"Halichoeres melanurus","optimal",0.25,1.47,10,29,29,"RMR"
"Halichoeres melanurus_warm",-0.96,1.01,-1.08,0.8,-0.84,1.22,"Halichoeres melanurus","warm",0.33,1.47,19,31,31,"RMR"
"Halichoeres miniatus_optimal",-1.47,0.82,-1.62,0.45,-1.32,1.19,"Halichoeres miniatus","optimal",0.54,2.03,6,29,29,"RMR"
"Halichoeres miniatus_warm",-1.02,0.63,-1.14,0.33,-0.91,0.92,"Halichoeres miniatus","warm",0.45,2.03,15,31,31,"RMR"
"Hemibagrus macropterus_optimal",-1.35,0.8,-1.75,0.66,-0.94,0.95,"Hemibagrus macropterus","optimal",9.8,26.6,8,25,25,"RMR"
"Hemibarbus maculatus_optimal",0.18,0.25,-2.9,-1.04,3.25,1.54,"Hemibarbus maculatus","optimal",8.3,17,8,25,25,"RMR"
"Hemiscyllium ocellatum_optimal",-3.33,1.18,-9.04,-0.73,2.38,3.09,"Hemiscyllium ocellatum","optimal",15.5,23.5,8,27,27,"RMR"
"Hemiscyllium ocellatum_warm",3.07,-1.03,-2.67,-2.98,8.8,0.92,"Hemiscyllium ocellatum","warm",16,21.5,19,27,31,"RMR"
"Hypophthalmichthys molitrix_optimal",-1.68,0.77,-1.86,0.71,-1.5,0.83,"Hypophthalmichthys molitrix","optimal",3.4,119.5,43,25,25,"RMR"
"Hypophthalmichthys nobilis_optimal",-0.62,0.7,-1.93,0.21,0.68,1.18,"Hypophthalmichthys nobilis","optimal",12.2,16.5,8,25,25,"RMR"
"Lates calcarifer_optimal",-1.26,0.79,-1.38,0.77,-1.14,0.82,"Lates calcarifer","optimal",23.08,453.7,333,23,30.02,"RMR"
"Lates calcarifer_warm",-1.3,0.92,-1.44,0.88,-1.16,0.95,"Lates calcarifer","warm",22.52,241,254,29,36.73,"RMR"
"Lates niloticus_optimal",-0.18,0.59,-0.5,0.5,0.14,0.68,"Lates niloticus","optimal",7.34,81.04,91,25,31,"RMR"
"Lates niloticus_warm",-0.29,0.72,-0.57,0.63,-0.01,0.81,"Lates niloticus","warm",4.62,50.08,47,31,35,"RMR"
"Lutjanus fulvus_optimal",-6.5,1.69,-11.71,0.3,-1.28,3.07,"Lutjanus fulvus","optimal",22.21,82.84,23,24,27.5,"RMR"
"Lutjanus fulvus_warm",-5.78,1.7,-8.78,0.9,-2.78,2.49,"Lutjanus fulvus","warm",24.29,83.19,12,31,31,"RMR"
"Macquaria ambigua_optimal",-1.79,0.7,-2.88,-0.86,-0.7,2.27,"Macquaria ambigua","optimal",1.23,2.77,14,30,30,"RMR"
"Megalobrama pellegrini_optimal",-1.97,1.24,-3.08,0.41,-0.86,2.07,"Megalobrama pellegrini","optimal",2.9,4.5,8,25,25,"RMR"
"Metahomaloptera omeiensis_optimal",-1.45,0.7,-1.73,0.13,-1.17,1.28,"Metahomaloptera omeiensis","optimal",0.45,1.32,8,25,25,"RMR"
"Misgurnus anguillicaudatus_optimal",-1.28,0.78,-3.55,-0.19,0.99,1.76,"Misgurnus anguillicaudatus","optimal",8.5,12.6,8,25,25,"RMR"
"Mylopharyngodon piceus_optimal",-1.17,0.68,-1.55,0.58,-0.8,0.78,"Mylopharyngodon piceus","optimal",3.7,276.1,107,10,25,"RMR"
"Myoxocephalus scorpius_optimal",-4.77,1.3,-6.47,0.94,-3.08,1.66,"Myoxocephalus scorpius","optimal",70.2,185,15,10,10,"RMR"
"Myxocyprinus asiaticus_optimal",-1.68,0.94,-3.39,-1,0.03,2.88,"Myxocyprinus asiaticus","optimal",2,3,8,25,25,"RMR"
"Neogobius melanostomus_optimal",-3.31,1.07,-4.45,0.78,-2.18,1.36,"Neogobius melanostomus","optimal",34,85,61,10,20,"RMR"
"Neogobius melanostomus_warm",-0.98,0.64,-2.94,0.13,0.98,1.15,"Neogobius melanostomus","warm",30,80,26,25,28,"RMR"
"Notothenia rossii_optimal",-1.88,0.78,-8.32,-0.29,4.57,1.85,"Notothenia rossii","optimal",155,804,5,1,1,"RMR"
"Notothenia rossii_warm",-3.25,1.12,-32.14,-4.26,25.64,6.49,"Notothenia rossii","warm",159,275,3,7,7,"RMR"
"Oncorhynchus clarkii lewisi_optimal",-0.75,0.7,-2.8,0.36,1.3,1.04,"Oncorhynchus clarkii lewisi","optimal",275,765,39,10,15,"RMR"
"Oncorhynchus kisutch_optimal",0.08,0.68,-2.61,0.32,2.77,1.03,"Oncorhynchus kisutch","optimal",1313,3011,38,9,14,"RMR"
"Oncorhynchus kisutch_warm",-3.47,1.21,-8.65,0.53,1.7,1.89,"Oncorhynchus kisutch","warm",1433,2595,17,18,18,"RMR"
"Oncorhynchus mykiss_optimal",-1.62,0.78,-1.77,0.75,-1.47,0.8,"Oncorhynchus mykiss","optimal",0.83,765.2,84,10,15,"RMR"
"Oncorhynchus mykiss_warm",-1.3,0.69,-1.5,0.48,-1.1,0.9,"Oncorhynchus mykiss","warm",0.66,4.86,95,12,24,"RMR"
"Oncorhynchus nerka_optimal",-1.32,0.94,-4.16,0.57,1.51,1.3,"Oncorhynchus nerka","optimal",1520,3450,38,12,20,"RMR"
"Oncorhynchus nerka_warm",-3.38,1.27,-10.07,0.41,3.31,2.13,"Oncorhynchus nerka","warm",1700,3190,31,21,26,"RMR"
"Oncorhynchus tshawytscha_optimal",-1.7,0.97,-1.81,0.94,-1.6,1,"Oncorhynchus tshawytscha","optimal",12.68,7200,432,12,23,"RMR"
"Oncorhynchus tshawytscha_warm",-2.24,1.08,-2.45,1.04,-2.03,1.13,"Oncorhynchus tshawytscha","warm",15.08,6350.99,238,8,25,"RMR"
"Oreochromis niloticus_optimal",-1.11,0.77,-1.23,0.74,-0.98,0.8,"Oreochromis niloticus","optimal",2.85,276.27,76,25,25,"RMR"
"Paracheirodon axelrodi_optimal",-2.45,0.38,-2.61,0.19,-2.29,0.56,"Paracheirodon axelrodi","optimal",0.25,0.83,42,28,28,"RMR"
"Paracirrhites arcatus_optimal",-1.28,0.1,-2.63,-0.56,0.07,0.75,"Paracirrhites arcatus","optimal",2.42,15.99,53,24,28,"RMR"
"Paracirrhites arcatus_warm",-1.12,0.37,-2.13,-0.18,-0.11,0.92,"Paracirrhites arcatus","warm",2,20,57,29,33,"RMR"
"Paralichthys olivaceus_optimal",-0.62,0.46,-6.51,-0.81,5.26,1.73,"Paralichthys olivaceus","optimal",84.5,114.5,40,18,18,"RMR"
"Perca fluviatilis_optimal",-1.84,0.86,-2.01,0.82,-1.68,0.9,"Perca fluviatilis","optimal",4.5,882,131,15,28,"RMR"
"Perca fluviatilis_warm",-1.28,0.87,-1.46,0.82,-1.1,0.91,"Perca fluviatilis","warm",7.1,591,34,28,28,"RMR"
"Percocypris pingi_optimal",-2.16,1.29,-3.43,0.79,-0.88,1.8,"Percocypris pingi","optimal",8.6,15.9,8,25,25,"RMR"
"Phoxinus phoxinus_optimal",-1.97,0.93,-2.14,0.75,-1.8,1.1,"Phoxinus phoxinus","optimal",0.68,7.44,136,10,13,"RMR"
"Platichthys flesus_optimal",-2.12,0.8,-2.61,0.7,-1.63,0.89,"Platichthys flesus","optimal",4.45,402.7,13,15,15,"RMR"
"Poecilia reticulata_optimal",-2.7,0.34,-4.34,-0.51,-1.05,1.19,"Poecilia reticulata","optimal",0.09,0.28,66,26,26,"RMR"
"Polyprion oxygeneios_optimal",1.78,0.24,0.26,-0.06,3.3,0.54,"Polyprion oxygeneios","optimal",88.2,324,64,12,24,"RMR"
"Pomacentrus amboinensis_optimal",-0.56,0.86,-1.54,0.49,0.42,1.23,"Pomacentrus amboinensis","optimal",0.04,0.12,72,28,28,"RMR"
"Procypris rabaudi_optimal",-1.41,0.84,-2.94,0.14,0.13,1.55,"Procypris rabaudi","optimal",7.5,10.9,8,25,25,"RMR"
"Pseudobagrus vachellii_optimal",-1.15,0.5,-1.46,0,-0.83,1,"Pseudobagrus vachellii","optimal",1.4,2.7,8,25,25,"RMR"
"Pseudorasbora parva_optimal",-1.47,0.87,-3.22,-0.33,0.27,2.07,"Pseudorasbora parva","optimal",3.3,6.4,8,25,25,"RMR"
"Rhinogobius giurinus_optimal",-1.77,1.35,-2.28,-0.03,-1.26,2.73,"Rhinogobius giurinus","optimal",1.01,1.97,8,25,25,"RMR"
"Rhodeus ocellatus_optimal",-0.45,0.27,-1.53,-0.43,0.62,0.96,"Rhodeus ocellatus","optimal",3.3,7,9,25,25,"RMR"
"Salmo salar_optimal",-5.46,1.78,-6.36,1.54,-4.55,2.02,"Salmo salar","optimal",30,70.7,72,12,14,"RMR"
"Salmo trutta_optimal",-2.16,0.93,-2.23,0.9,-2.09,0.95,"Salmo trutta","optimal",5.37,68.2,550,11.5,15,"RMR"
"Salvelinus alpinus_optimal",-2.99,1.75,-3.17,1.59,-2.8,1.91,"Salvelinus alpinus","optimal",0.16,0.46,66,13.3,13.3,"RMR"
"Schizothorax wangchiachii_optimal",-0.49,0.71,-1.81,0.22,0.83,1.21,"Schizothorax wangchiachii","optimal",7.6,20.6,8,25,25,"RMR"
"Silurus meridionalis_optimal",-1.34,0.8,-3.29,0.13,0.61,1.46,"Silurus meridionalis","optimal",8.8,29.3,8,25,25,"RMR"
"Sinibrama taeniatus_optimal",-0.04,0.32,-1.29,-0.3,1.22,0.94,"Sinibrama taeniatus","optimal",5.9,10.1,8,25,25,"RMR"
"Siniperca chuatsi_optimal",-1.85,1.04,-3.07,0.48,-0.64,1.59,"Siniperca chuatsi","optimal",5.9,13.2,8,25,25,"RMR"
"Somniosus microcephalus_optimal",-4.47,1,-26.67,-1.03,17.73,3.02,"Somniosus microcephalus","optimal",33400,126000,3,3.8,5.1,"RMR"
"Spinibarbus sinensis_optimal",-1.15,0.76,-2.46,0.29,0.16,1.22,"Spinibarbus sinensis","optimal",10.3,28.4,8,25,25,"RMR"
"Tachysurus dumerili_optimal",-0.18,0.35,-1.91,-0.29,1.54,0.99,"Tachysurus dumerili","optimal",11,19.5,8,25,25,"RMR"
"Tautogolabrus adspersus_optimal",-1.95,0.82,-1.98,0.79,-1.92,0.84,"Tautogolabrus adspersus","optimal",0.45,19.45,340,15,15,"RMR"
"Thalassoma amblycephalum_optimal",-1.13,0.45,-1.34,-0.3,-0.91,1.21,"Thalassoma amblycephalum","optimal",0.94,1.92,15,29,29,"RMR"
"Thalassoma amblycephalum_warm",-0.75,0.3,-0.87,-0.19,-0.63,0.78,"Thalassoma amblycephalum","warm",0.76,1.92,26,31,31,"RMR"
"Thunnus orientalis_optimal",-3.13,1.15,-38.27,-2.65,32.02,4.95,"Thunnus orientalis","optimal",9700,11000,7,20,20,"RMR"
"Trachurus trachurus_optimal",-1.51,0.72,-1.67,0.68,-1.34,0.77,"Trachurus trachurus","optimal",1.39,390.11,59,13,13,"RMR"
"Trematomus bernacchii_optimal",-2.99,0.75,-3.11,0.69,-2.87,0.81,"Trematomus bernacchii","optimal",0.52,57.9,104,-1,1,"RMR"
"Trematomus bernacchii_warm",-2.9,0.75,-3.02,0.7,-2.78,0.8,"Trematomus bernacchii","warm",0.52,58.7,148,1,4,"RMR"
"Triplophysa rosa_optimal",-3.52,1.23,-4.37,0.78,-2.67,1.67,"Triplophysa rosa","optimal",3.6,11.6,33,15,25,"RMR"
"Zacco platypus_optimal",-1.02,0.74,-2.31,0.08,0.27,1.39,"Zacco platypus","optimal",4.8,10.5,8,25,25,"RMR"
