"","Phoxinus phoxinus","Hemibarbus maculatus","Hypophthalmichthys molitrix","Hypophthalmichthys nobilis","Mylopharyngodon piceus","Ctenopharyngodon idella","Cyprinus carpio","Carassius auratus","Procypris rabaudi","Clarias gariepinus","Pseudobagrus vachellii","Oncorhynchus mykiss","Oncorhynchus tshawytscha","Salvelinus alpinus","Salmo trutta","Salmo salar","Pomacentrus amboinensis","Amphiprion melanopus","Amphiprion chrysopterus","Amphiprion percula","Acanthochromis polyacanthus","Chromis viridis","Amphistichus argenteus","Oreochromis niloticus","Platichthys flesus","Paralichthys olivaceus","Lates niloticus","Lates calcarifer","Trachurus trachurus","Channa argus","Dicentrarchus labrax","Caesio cuning","Tautogolabrus adspersus","Halichoeres melanurus","Halichoeres miniatus","Thalassoma amblycephalum","Myoxocephalus scorpius","Gasterosteus aculeatus","Trematomus bernacchii","Notothenia rossii","Perca fluviatilis","Macquaria ambigua","Siniperca chuatsi","Girella nigricans","Polyprion oxygeneios","Thunnus orientalis","Gadus morhua","Boreogadus saida","Anguilla anguilla","Acipenser medirostris","Hemiscyllium ocellatum","Somniosus microcephalus"
"Oncorhynchus mykiss",0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,1,0.980392156862745,0.96078431372549,0.92156862745098,0.92156862745098,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.0588235294117647,0.0392156862745098,0,0
"Oncorhynchus tshawytscha",0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.980392156862745,1,0.96078431372549,0.92156862745098,0.92156862745098,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.0588235294117647,0.0392156862745098,0,0
"Salvelinus alpinus",0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.96078431372549,0.96078431372549,1,0.92156862745098,0.92156862745098,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.0588235294117647,0.0392156862745098,0,0
"Salmo trutta",0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.92156862745098,0.92156862745098,0.92156862745098,1,0.980392156862745,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.0588235294117647,0.0392156862745098,0,0
"Salmo salar",0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.92156862745098,0.92156862745098,0.92156862745098,0.980392156862745,1,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.0588235294117647,0.0392156862745098,0,0
"Pomacentrus amboinensis",0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,1,0.941176470588236,0.941176470588236,0.941176470588236,0.92156862745098,0.901960784313726,0.882352941176471,0.862745098039216,0.745098039215686,0.745098039215686,0.745098039215686,0.745098039215686,0.745098039215686,0.745098039215686,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.431372549019608,0.392156862745098,0.392156862745098,0.0588235294117647,0.0392156862745098,0,0
"Amphiprion melanopus",0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.941176470588236,1,0.980392156862745,0.96078431372549,0.92156862745098,0.901960784313726,0.882352941176471,0.862745098039216,0.745098039215686,0.745098039215686,0.745098039215686,0.745098039215686,0.745098039215686,0.745098039215686,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.431372549019608,0.392156862745098,0.392156862745098,0.0588235294117647,0.0392156862745098,0,0
"Amphiprion chrysopterus",0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.941176470588236,0.980392156862745,1,0.96078431372549,0.92156862745098,0.901960784313726,0.882352941176471,0.862745098039216,0.745098039215686,0.745098039215686,0.745098039215686,0.745098039215686,0.745098039215686,0.745098039215686,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.431372549019608,0.392156862745098,0.392156862745098,0.0588235294117647,0.0392156862745098,0,0
"Amphiprion percula",0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.941176470588236,0.96078431372549,0.96078431372549,1,0.92156862745098,0.901960784313726,0.882352941176471,0.862745098039216,0.745098039215686,0.745098039215686,0.745098039215686,0.745098039215686,0.745098039215686,0.745098039215686,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.431372549019608,0.392156862745098,0.392156862745098,0.0588235294117647,0.0392156862745098,0,0
"Acanthochromis polyacanthus",0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.92156862745098,0.92156862745098,0.92156862745098,0.92156862745098,1,0.901960784313726,0.882352941176471,0.862745098039216,0.745098039215686,0.745098039215686,0.745098039215686,0.745098039215686,0.745098039215686,0.745098039215686,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.431372549019608,0.392156862745098,0.392156862745098,0.0588235294117647,0.0392156862745098,0,0
"Chromis viridis",0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.901960784313726,0.901960784313726,0.901960784313726,0.901960784313726,0.901960784313726,1,0.882352941176471,0.862745098039216,0.745098039215686,0.745098039215686,0.745098039215686,0.745098039215686,0.745098039215686,0.745098039215686,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.431372549019608,0.392156862745098,0.392156862745098,0.0588235294117647,0.0392156862745098,0,0
"Amphistichus argenteus",0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.882352941176471,0.882352941176471,0.882352941176471,0.882352941176471,0.882352941176471,0.882352941176471,1,0.862745098039216,0.745098039215686,0.745098039215686,0.745098039215686,0.745098039215686,0.745098039215686,0.745098039215686,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.431372549019608,0.392156862745098,0.392156862745098,0.0588235294117647,0.0392156862745098,0,0
"Oreochromis niloticus",0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.862745098039216,0.862745098039216,0.862745098039216,0.862745098039216,0.862745098039216,0.862745098039216,0.862745098039216,1,0.745098039215686,0.745098039215686,0.745098039215686,0.745098039215686,0.745098039215686,0.745098039215686,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.431372549019608,0.392156862745098,0.392156862745098,0.0588235294117647,0.0392156862745098,0,0
"Platichthys flesus",0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.745098039215686,0.745098039215686,0.745098039215686,0.745098039215686,0.745098039215686,0.745098039215686,0.745098039215686,0.745098039215686,1,0.980392156862745,0.941176470588235,0.941176470588235,0.92156862745098,0.901960784313726,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.431372549019608,0.392156862745098,0.392156862745098,0.0588235294117647,0.0392156862745098,0,0
"Paralichthys olivaceus",0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.745098039215686,0.745098039215686,0.745098039215686,0.745098039215686,0.745098039215686,0.745098039215686,0.745098039215686,0.745098039215686,0.980392156862745,1,0.941176470588235,0.941176470588235,0.92156862745098,0.901960784313726,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.431372549019608,0.392156862745098,0.392156862745098,0.0588235294117647,0.0392156862745098,0,0
"Lates niloticus",0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.745098039215686,0.745098039215686,0.745098039215686,0.745098039215686,0.745098039215686,0.745098039215686,0.745098039215686,0.745098039215686,0.941176470588235,0.941176470588235,1,0.980392156862745,0.92156862745098,0.901960784313726,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.431372549019608,0.392156862745098,0.392156862745098,0.0588235294117647,0.0392156862745098,0,0
"Lates calcarifer",0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.745098039215686,0.745098039215686,0.745098039215686,0.745098039215686,0.745098039215686,0.745098039215686,0.745098039215686,0.745098039215686,0.941176470588235,0.941176470588235,0.980392156862745,1,0.92156862745098,0.901960784313726,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.431372549019608,0.392156862745098,0.392156862745098,0.0588235294117647,0.0392156862745098,0,0
"Trachurus trachurus",0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.0784313725490197,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.294117647058823,0.745098039215686,0.745098039215686,0.745098039215686,0.745098039215686,0.745098039215686,0.745098039215686,0.745098039215686,0.745098039215686,0.92156862745098,0.92156862745098,0.92156862745098,0.92156862745098,1,0.901960784313726,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.450980392156863,0.431372549019608,0.392156862745098,0.392156862745098,0.0588235294117647,0.0392156862745098,0,0
