"","Phoxinus phoxinus","Hemibarbus maculatus","Gobiocypris rarus","Pseudorasbora parva","Rhodeus ocellatus","Megalobrama pellegrini","Sinibrama taeniatus","Hypophthalmichthys molitrix","Hypophthalmichthys nobilis","Mylopharyngodon piceus","Ctenopharyngodon idella","Zacco platypus","Acrossocheilus monticola","Schizothorax wangchiachii","Percocypris pingi","Spinibarbus sinensis","Cyprinus carpio","Carassius auratus","Procypris rabaudi","Discogobio yunnanensis","Misgurnus anguillicaudatus","Triplophysa rosa","Metahomaloptera omeiensis","Myxocyprinus asiaticus","Silurus meridionalis","Tachysurus dumerili","Hemibagrus macropterus","Pseudobagrus vachellii","Oncorhynchus nerka","Oncorhynchus mykiss","Oncorhynchus clarkii lewisi","Oncorhynchus tshawytscha","Oncorhynchus kisutch","Salmo trutta","Pomacentrus amboinensis","Acanthochromis polyacanthus","Amphistichus argenteus","Poecilia reticulata","Gambusia holbrooki","Fundulus grandis","Paralichthys olivaceus","Lates niloticus","Lates calcarifer","Channa argus","Chrysoblephus laticeps","Lutjanus fulvus","Caesio cuning","Acanthurus triostegus","Tautogolabrus adspersus","Halichoeres melanurus","Halichoeres miniatus","Thalassoma amblycephalum","Gasterosteus aculeatus","Perca fluviatilis","Centropristis striata","Macquaria ambigua","Siniperca chuatsi","Paracirrhites arcatus","Girella nigricans","Neogobius melanostomus","Rhinogobius giurinus","Boreogadus saida","Acipenser medirostris","Hemiscyllium ocellatum"
"Cyprinus carpio",0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.920634920634921,0.920634920634921,0.920634920634921,1,0.984126984126984,0.968253968253968,0.904761904761905,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0158730158730159,0
"Carassius auratus",0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.920634920634921,0.920634920634921,0.920634920634921,0.984126984126984,1,0.968253968253968,0.904761904761905,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0158730158730159,0
"Procypris rabaudi",0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.920634920634921,0.920634920634921,0.920634920634921,0.968253968253968,0.968253968253968,1,0.904761904761905,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0158730158730159,0
"Discogobio yunnanensis",0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.904761904761905,0.904761904761905,0.904761904761905,0.904761904761905,0.904761904761905,0.904761904761905,1,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0158730158730159,0
"Misgurnus anguillicaudatus",0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,1,0.984126984126984,0.968253968253968,0.952380952380952,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0158730158730159,0
"Triplophysa rosa",0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.984126984126984,1,0.968253968253968,0.952380952380952,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0158730158730159,0
"Metahomaloptera omeiensis",0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.968253968253968,0.968253968253968,1,0.952380952380952,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0158730158730159,0
"Myxocyprinus asiaticus",0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.952380952380952,0.952380952380952,0.952380952380952,1,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0158730158730159,0
"Silurus meridionalis",0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,1,0.952380952380952,0.952380952380952,0.952380952380952,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0158730158730159,0
"Tachysurus dumerili",0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.952380952380952,1,0.984126984126984,0.952380952380952,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0158730158730159,0
"Hemibagrus macropterus",0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.952380952380952,0.984126984126984,1,0.952380952380952,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0158730158730159,0
"Pseudobagrus vachellii",0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.952380952380952,0.952380952380952,0.952380952380952,1,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0158730158730159,0
