"tempTest","lnBWg","model_predFE"
2,-2.19418321227783,-2.81722347624395
3,-2.19418321227783,-2.77761949510536
4,-2.19418321227783,-2.73801551396677
5,-2.19418321227783,-2.69841153282817
6,-2.19418321227783,-2.65880755168958
7,-2.19418321227783,-2.61920357055098
8,-2.19418321227783,-2.57959958941239
9,-2.19418321227783,-2.5399956082738
10,-2.19418321227783,-2.5003916271352
11,-2.19418321227783,-2.46078764599661
12,-2.19418321227783,-2.42118366485802
13,-2.19418321227783,-2.38157968371942
14,-2.19418321227783,-2.34197570258083
15,-2.19418321227783,-2.30237172144224
16,-2.19418321227783,-2.26276774030365
17,-2.19418321227783,-2.22316375916505
18,-2.19418321227783,-2.18355977802646
19,-2.19418321227783,-2.14395579688787
20,-2.19418321227783,-2.10435181574927
21,-2.19418321227783,-2.06474783461068
22,-2.19418321227783,-2.02514385347208
23,-2.19418321227783,-1.98553987233349
24,-2.19418321227783,-1.9459358911949
25,-2.19418321227783,-1.9063319100563
26,-2.19418321227783,-1.86672792891771
27,-2.19418321227783,-1.82712394777912
28,-2.19418321227783,-1.78751996664053
29,-2.19418321227783,-1.74791598550193
30,-2.19418321227783,-1.70831200436334
31,-2.19418321227783,-1.66870802322475
0,-1.69418321227783,-2.50668774175413
1,-1.69418321227783,-2.46708376061553
2,-1.69418321227783,-2.42747977947694
3,-1.69418321227783,-2.38787579833835
4,-1.69418321227783,-2.34827181719975
5,-1.69418321227783,-2.30866783606116
6,-1.69418321227783,-2.26906385492257
7,-1.69418321227783,-2.22945987378397
8,-1.69418321227783,-2.18985589264538
9,-1.69418321227783,-2.15025191150679
10,-1.69418321227783,-2.11064793036819
11,-1.69418321227783,-2.0710439492296
12,-1.69418321227783,-2.03143996809101
13,-1.69418321227783,-1.99183598695241
14,-1.69418321227783,-1.95223200581382
15,-1.69418321227783,-1.91262802467523
16,-1.69418321227783,-1.87302404353663
17,-1.69418321227783,-1.83342006239804
18,-1.69418321227783,-1.79381608125945
19,-1.69418321227783,-1.75421210012085
20,-1.69418321227783,-1.71460811898226
21,-1.69418321227783,-1.67500413784367
22,-1.69418321227783,-1.63540015670507
23,-1.69418321227783,-1.59579617556648
24,-1.69418321227783,-1.55619219442789
25,-1.69418321227783,-1.51658821328929
26,-1.69418321227783,-1.4769842321507
27,-1.69418321227783,-1.43738025101211
28,-1.69418321227783,-1.39777626987351
29,-1.69418321227783,-1.35817228873492
30,-1.69418321227783,-1.31856830759633
31,-1.69418321227783,-1.27896432645773
0,-1.19418321227783,-2.11694404498712
1,-1.19418321227783,-2.07734006384852
2,-1.19418321227783,-2.03773608270993
3,-1.19418321227783,-1.99813210157134
4,-1.19418321227783,-1.95852812043274
5,-1.19418321227783,-1.91892413929415
6,-1.19418321227783,-1.87932015815556
7,-1.19418321227783,-1.83971617701696
8,-1.19418321227783,-1.80011219587837
9,-1.19418321227783,-1.76050821473978
10,-1.19418321227783,-1.72090423360118
11,-1.19418321227783,-1.68130025246259
12,-1.19418321227783,-1.641696271324
13,-1.19418321227783,-1.6020922901854
14,-1.19418321227783,-1.56248830904681
15,-1.19418321227783,-1.52288432790822
16,-1.19418321227783,-1.48328034676962
17,-1.19418321227783,-1.44367636563103
18,-1.19418321227783,-1.40407238449244
19,-1.19418321227783,-1.36446840335384
20,-1.19418321227783,-1.32486442221525
21,-1.19418321227783,-1.28526044107666
22,-1.19418321227783,-1.24565645993806
23,-1.19418321227783,-1.20605247879947
24,-1.19418321227783,-1.16644849766088
25,-1.19418321227783,-1.12684451652228
26,-1.19418321227783,-1.08724053538369
