"EcolGroup","emmean","SE","df","lower.CL","upper.CL","var","test.categ","ecol"
"pelagic",1.68499895013173,0.251696225496488,60.3103751131538,1.18158482424701,2.18841307601645,"FAS","opt","DemersPelag"
"reef-associated",1.55647003086875,0.119148640814972,64.5076156276299,1.31847932589422,1.79446073584327,"FAS","opt","DemersPelag"
"elongated",1.38304618899206,0.092792547705694,82.817275044912,1.19847952135547,1.56761285662866,"FAS","opt","BodyShapeI"
"fusiform",1.54333598877422,0.0632235348649459,65.3588928780975,1.41708301331914,1.66958896422929,"FAS","opt","BodyShapeI"
"short/deep",1.4772875763445,0.156191960332661,68.3710058584269,1.16564199292475,1.78893315976425,"FAS","opt","BodyShapeI"
"Polar",-0.0163157709959302,0.273782257717308,60.64068508179,-0.563842843516626,0.531211301524766,"FAS","opt","Climate"
"Subtropical",1.51676283283521,0.0618325222858679,80.8089673665841,1.39373109985832,1.6397945658121,"FAS","opt","Climate"
"Temperate",1.4302321827304,0.0795912553400584,72.179353313603,1.27157665036316,1.58888771509765,"FAS","opt","Climate"
"Tropical",1.57306410088574,0.0900482591274422,61.7842745575929,1.39304769275743,1.75308050901405,"FAS","opt","Climate"
"Freshwater",1.51610812463578,0.0708161822300136,86.2444664921559,1.37533590620751,1.65688034306404,"FAS","opt","salintyComb"
"Freshwater; brackish",1.46983094033913,0.0819567188823201,65.3815538840428,1.30617017648153,1.63349170419672,"FAS","opt","salintyComb"
"Marine",1.55473730074879,0.092850623682269,67.5415985136305,1.36943399392047,1.74004060757711,"FAS","opt","salintyComb"
"Marine; brackish",-0.00635241483649174,0.276833099656771,61.9386128294824,-0.559744806099082,0.547039976426099,"FAS","opt","salintyComb"
"Marine; freshwater; brackish",1.46639493537465,0.110436756029963,60.7988328193416,1.24554821502851,1.68724165572079,"FAS","opt","salintyComb"
"benthopelagic",1.45427972585091,0.963316973815005,193.152286350213,-0.445691404072072,3.3542508557739,"FAS","warm","DemersPelag"
"demersal",0.722646472168206,0.696409842138166,152.956752978692,-0.653177168137237,2.09847011247365,"FAS","warm","DemersPelag"
"pelagic",2.72919182143538,1.07750632695124,131.896504483442,0.597762332138418,4.86062131073234,"FAS","warm","DemersPelag"
"reef-associated",2.37487167842783,0.691227801949776,128.662940786088,1.0072266211473,3.74251673570836,"FAS","warm","DemersPelag"
"elongated",1.36575850678411,0.911361192650806,173.831567043863,-0.432999483074286,3.1645164966425,"FAS","warm","BodyShapeI"
"fusiform",1.63819247109373,0.567107228931211,223.939374048199,0.520643106302176,2.75574183588529,"FAS","warm","BodyShapeI"
"short/deep",3.05031737983351,1.3175183798623,130.125119569672,0.443788378241137,5.65684638142588,"FAS","warm","BodyShapeI"
"Polar",0.139814804231138,1.52816965267975,10031.1446445067,-2.8557041178871,3.13533372634938,"FAS","warm","Climate"
"Subtropical",1.47133643431256,0.898754049694966,26749.070488696,-0.290268844602543,3.23294171322766,"FAS","warm","Climate"
"Temperate",1.71448346945638,0.880830549801811,5208.86653666788,-0.0123139324583839,3.44128087137114,"FAS","warm","Climate"
"Tropical",1.77108603032951,0.704692076610956,4369.66038031266,0.38953226126699,3.15263979939203,"FAS","warm","Climate"
"Freshwater",0.194284269555328,1.90025934629202,79.4946647832874,-3.58772142151583,3.97628996062649,"FAS","warm","salintyComb"
"Freshwater; brackish",2.03884994786792,1.83135366182032,212.057149623257,-1.57113996109983,5.64883985683567,"FAS","warm","salintyComb"
