"contrast","estimate","SE","df","t.ratio","p.value","var","test.categ","ecol"
"benthopelagic - (reef-associated)",0.468313467042488,0.325840187742309,36.9015978301302,1.43724894798076,0.484890974084784,"MMR","warm","DemersPelag"
"demersal - pelagic",-0.584888996851198,0.557560009437893,66.7051686199503,-1.0490153292035,0.721346484265393,"MMR","warm","DemersPelag"
"demersal - (reef-associated)",0.315175873814141,0.322885666211693,36.7314069756221,0.976122221565272,0.76376861065753,"MMR","warm","DemersPelag"
"pelagic - (reef-associated)",0.900064870665339,0.555750269059504,66.4271911999978,1.61954914063923,0.374815131259836,"MMR","warm","DemersPelag"
"elongated - fusiform",-0.54972127473485,0.315584965694679,31.9539405662833,-1.7419121139842,0.205567535688466,"MMR","warm","BodyShapeI"
"elongated - (short/deep)",-0.27129628545929,0.474856796600196,36.439264417876,-0.57132231738426,0.83614933526974,"MMR","warm","BodyShapeI"
"fusiform - (short/deep)",0.27842498927556,0.419252828659898,37.4012508527151,0.664098057884353,0.785565016656761,"MMR","warm","BodyShapeI"
"Polar - Subtropical",-0.989173824349928,0.72275235699818,51.0990919130695,-1.36862068282735,0.524487761587761,"MMR","warm","Climate"
"Polar - Temperate",-0.966730576454232,0.763729585853551,51.6606808793933,-1.26580218229179,0.588515502826005,"MMR","warm","Climate"
"Polar - Tropical",-0.59715539343037,0.722909164335489,52.1913693791236,-0.826044851678269,0.841872410247462,"MMR","warm","Climate"
"Subtropical - Temperate",0.0224432478956952,0.390380795983513,42.8673348282964,0.0574906556024416,0.99993065688707,"MMR","warm","Climate"
"Subtropical - Tropical",0.392018430919557,0.289400480324923,33.3174325421214,1.35458804518714,0.535826349294143,"MMR","warm","Climate"
"Temperate - Tropical",0.369575183023862,0.38538593593112,42.704425149839,0.958974234830189,0.773195637539247,"MMR","warm","Climate"
"Freshwater - Freshwater; brackish",0.68958044150453,0.598969165839724,50.2224980057844,1.15127869819104,0.778482629385645,"MMR","warm","salintyComb"
"Freshwater - Marine",0.785915228557968,0.530461486487958,50.9473159126425,1.48156887649149,0.578918709732808,"MMR","warm","salintyComb"
"Freshwater - Marine; brackish",0.455433270036333,0.601892169728035,52.2238509410704,0.756669205785017,0.941694996029399,"MMR","warm","salintyComb"
"Freshwater - Marine; freshwater; brackish",0.36259102850751,0.529750089930947,52.781693213956,0.684456756873365,0.958986933570664,"MMR","warm","salintyComb"
"Freshwater; brackish - Marine",0.0963347870534385,0.431345635081994,47.0061503720612,0.223335486019526,0.999426978501735,"MMR","warm","salintyComb"
"Freshwater; brackish - Marine; brackish",-0.234147171468197,0.515583503444928,49.0225032743249,-0.454140153638967,0.990951629539493,"MMR","warm","salintyComb"
"Freshwater; brackish - Marine; freshwater; brackish",-0.32698941299702,0.429437902484264,48.5956667083092,-0.761435846965097,0.940333241782095,"MMR","warm","salintyComb"
"Marine - Marine; brackish",-0.330481958521635,0.433620850267064,49.8131029164439,-0.762144989840995,0.940170850602259,"MMR","warm","salintyComb"
"Marine - Marine; freshwater; brackish",-0.423324200050459,0.326379824134411,49.3460658641989,-1.29702931599143,0.694233768020899,"MMR","warm","salintyComb"
"Marine; brackish - Marine; freshwater; brackish",-0.0928422415288233,0.429032991473886,49.5014533939036,-0.216398839655375,0.999495137543106,"MMR","warm","salintyComb"
