"tempTestK1000","lnBWg","model_predFE","CI_2.5","CI_97.5","tempTestK1000_inC"
3.49335781574325,4.45954055100434,3.11031580059364,2.79176875325071,3.2016071778263,11.1075357993318
3.54335781574325,4.45954055100434,2.96229646076249,2.65883334154462,3.07943565606065,7.06818173625243
3.59335781574325,4.45954055100434,2.81427712093135,2.52589792983853,2.95726413429499,3.14123935801507
3.64335781574325,4.45954055100434,2.66625778110021,2.39296251813244,2.83509261252933,-0.677919415733356
3.19335781574325,4.95954055100434,4.44544436323118,3.91853734470074,4.36804480241235,38
3.24335781574325,4.95954055100434,4.28885803791392,3.8019800516311,4.24587328064669,33.1724413741837
3.29335781574325,4.95954055100434,4.13227171259665,3.68542275856145,4.12370175888103,28.4914674469003
3.34335781574325,4.95954055100434,3.97568538727939,3.5688654654918,4.00153023711537,23.9505016846193
3.39335781574325,4.95954055100434,3.81909906196212,3.45230817242215,3.87935871534971,19.5433551659561
3.44335781574325,4.95954055100434,3.66251273664486,3.32382716589085,3.75718719358405,15.2641984396555
3.49335781574325,4.95954055100434,3.50592641132759,3.19089175418476,3.63501567181839,11.1075357993318
3.54335781574325,4.95954055100434,3.34934008601033,3.05795634247867,3.51284415005273,7.06818173625243
3.59335781574325,4.95954055100434,3.19275376069306,2.92502093077258,3.39067262828707,3.14123935801507
3.64335781574325,4.95954055100434,3.0361674353758,2.79208551906649,3.26850110652141,-0.677919415733356
3.19335781574325,5.45954055100434,4.89245688688188,4.30236515047388,4.80145329640443,38
3.24335781574325,5.45954055100434,4.72730357607849,4.18580785740423,4.67928177463877,33.1724413741837
3.29335781574325,5.45954055100434,4.5621502652751,4.06925056433458,4.55711025287311,28.4914674469003
3.34335781574325,5.45954055100434,4.39699695447171,3.95269327126493,4.43493873110746,23.9505016846193
3.39335781574325,5.45954055100434,4.23184364366833,3.83613597819528,4.3127672093418,19.5433551659561
3.44335781574325,5.45954055100434,4.06669033286494,3.71957868512564,4.19059568757614,15.2641984396555
3.49335781574325,5.45954055100434,3.90153702206155,3.59001475511881,4.06842416581048,11.1075357993318
3.54335781574325,5.45954055100434,3.73638371125816,3.45707934341272,3.94625264404482,7.06818173625243
3.59335781574325,5.45954055100434,3.57123040045477,3.32414393170663,3.82408112227916,3.14123935801507
3.64335781574325,5.45954055100434,3.40607708965138,3.19120852000054,3.7019096005135,-0.677919415733356
3.19335781574325,5.95954055100434,5.33946941053258,4.686192956247,5.23486179039652,38
3.24335781574325,5.95954055100434,5.16574911424306,4.56963566317736,5.11269026863086,33.1724413741837
3.29335781574325,5.95954055100434,4.99202881795355,4.45307837010771,4.9905187468652,28.4914674469003
3.34335781574325,5.95954055100434,4.81830852166404,4.33652107703806,4.86834722509954,23.9505016846193
3.39335781574325,5.95954055100434,4.64458822537453,4.21996378396841,4.74617570333388,19.5433551659561
3.44335781574325,5.95954055100434,4.47086792908502,4.10340649089877,4.62400418156822,15.2641984396555
3.49335781574325,5.95954055100434,4.29714763279551,3.98684919782912,4.50183265980256,11.1075357993318
3.54335781574325,5.95954055100434,4.123427336506,3.85620234434677,4.3796611380369,7.06818173625243
3.59335781574325,5.95954055100434,3.94970704021648,3.72326693264068,4.25748961627125,3.14123935801507
3.64335781574325,5.95954055100434,3.77598674392697,3.59033152093459,4.13531809450559,-0.677919415733356
3.19335781574325,6.45954055100434,5.78648193418327,5.07002076202014,5.66827028438861,38
3.24335781574325,6.45954055100434,5.60419465240764,4.95346346895049,5.54609876262295,33.1724413741837
3.29335781574325,6.45954055100434,5.421907370632,4.83690617588084,5.42392724085729,28.4914674469003
3.34335781574325,6.45954055100434,5.23962008885637,4.72034888281119,5.30175571909163,23.9505016846193
3.39335781574325,6.45954055100434,5.05733280708073,4.60379158974154,5.17958419732597,19.5433551659561
3.44335781574325,6.45954055100434,4.8750455253051,4.4872342966719,5.05741267556031,15.2641984396555
3.49335781574325,6.45954055100434,4.69275824352946,4.37067700360225,4.93524115379465,11.1075357993318
3.54335781574325,6.45954055100434,4.51047096175383,4.2541197105326,4.81306963202899,7.06818173625243
3.59335781574325,6.45954055100434,4.3281836799782,4.12238993357473,4.69089811026333,3.14123935801507
3.64335781574325,6.45954055100434,4.14589639820256,3.98945452186864,4.56872658849767,-0.677919415733356
3.19335781574325,6.95954055100434,6.23349445783396,5.45384856779327,6.10167877838069,38
3.24335781574325,6.95954055100434,6.04264019057221,5.33729127472362,5.97950725661503,33.1724413741837
3.29335781574325,6.95954055100434,5.85178592331045,5.22073398165397,5.85733573484938,28.4914674469003
3.34335781574325,6.95954055100434,5.66093165604869,5.10417668858432,5.73516421308372,23.9505016846193
3.39335781574325,6.95954055100434,5.47007738878693,4.98761939551467,5.61299269131806,19.5433551659561
3.44335781574325,6.95954055100434,5.27922312152518,4.87106210244503,5.4908211695524,15.2641984396555
3.49335781574325,6.95954055100434,5.08836885426342,4.75450480937538,5.36864964778674,11.1075357993318
3.54335781574325,6.95954055100434,4.89751458700166,4.63794751630573,5.24647812602108,7.06818173625243
3.59335781574325,6.95954055100434,4.70666031973991,4.52139022323608,5.12430660425542,3.14123935801507
3.64335781574325,6.95954055100434,4.51580605247815,4.38857752280269,5.00213508248976,-0.677919415733356
3.19335781574325,7.45954055100434,6.68050698148466,5.8376763735664,6.53508727237278,38
3.24335781574325,7.45954055100434,6.48108572873678,5.72111908049675,6.41291575060712,33.1724413741837
3.29335781574325,7.45954055100434,6.2816644759889,5.6045617874271,6.29074422884146,28.4914674469003
3.34335781574325,7.45954055100434,6.08224322324102,5.48800449435745,6.1685727070758,23.9505016846193
3.39335781574325,7.45954055100434,5.88282197049314,5.3714472012878,6.04640118531014,19.5433551659561
3.44335781574325,7.45954055100434,5.68340071774526,5.25488990821816,5.92422966354448,15.2641984396555
3.49335781574325,7.45954055100434,5.48397946499738,5.13833261514851,5.80205814177882,11.1075357993318
3.54335781574325,7.45954055100434,5.2845582122495,5.02177532207886,5.67988662001317,7.06818173625243
3.59335781574325,7.45954055100434,5.08513695950162,4.90521802900921,5.55771509824751,3.14123935801507
3.64335781574325,7.45954055100434,4.88571570675374,4.78770052373674,5.43554357648185,-0.677919415733356
3.19335781574325,7.95954055100434,7.12751950513535,6.22150417933953,6.96849576636487,38
3.24335781574325,7.95954055100434,6.91953126690135,6.10494688626988,6.84632424459921,33.1724413741837
3.29335781574325,7.95954055100434,6.71154302866735,5.98838959320023,6.72415272283355,28.4914674469003
3.34335781574325,7.95954055100434,6.50355479043334,5.87183230013058,6.60198120106789,23.9505016846193
3.39335781574325,7.95954055100434,6.29556655219934,5.75527500706094,6.47980967930223,19.5433551659561
3.44335781574325,7.95954055100434,6.08757831396534,5.63871771399129,6.35763815753657,15.2641984396555
3.49335781574325,7.95954055100434,5.87959007573133,5.52216042092164,6.23546663577091,11.1075357993318
3.54335781574325,7.95954055100434,5.67160183749733,5.40560312785199,6.11329511400525,7.06818173625243
3.59335781574325,7.95954055100434,5.46361359926333,5.28904583478234,5.99112359223959,3.14123935801507
3.64335781574325,7.95954055100434,5.25562536102932,5.1724885417127,5.86895207047393,-0.677919415733356
3.19335781574325,8.45954055100434,7.57453202878605,6.60533198511266,7.40190426035695,38
3.24335781574325,8.45954055100434,7.35797680506592,6.48877469204301,7.2797327385913,33.1724413741837
3.29335781574325,8.45954055100434,7.1414215813458,6.37221739897336,7.15756121682564,28.4914674469003
3.34335781574325,8.45954055100434,6.92486635762567,6.25566010590371,7.03538969505998,23.9505016846193
3.39335781574325,8.45954055100434,6.70831113390554,6.13910281283407,6.91321817329432,19.5433551659561
3.44335781574325,8.45954055100434,6.49175591018542,6.02254551976442,6.79104665152866,15.2641984396555
3.49335781574325,8.45954055100434,6.2752006864653,5.90598822669477,6.668875129763,11.1075357993318
3.54335781574325,8.45954055100434,6.05864546274517,5.78943093362512,6.54670360799734,7.06818173625243
3.59335781574325,8.45954055100434,5.84209023902504,5.67287364055547,6.42453208623168,3.14123935801507
3.64335781574325,8.45954055100434,5.62553501530491,5.55631634748583,6.30236056446602,-0.677919415733356
3.19335781574325,8.95954055100434,8.02154455243674,6.98915979088579,7.83531275434904,38
3.24335781574325,8.95954055100434,7.7964223432305,6.87260249781614,7.71314123258338,33.1724413741837
3.29335781574325,8.95954055100434,7.57130013402424,6.75604520474649,7.59096971081772,28.4914674469003
3.34335781574325,8.95954055100434,7.346177924818,6.63948791167684,7.46879818905206,23.9505016846193
3.39335781574325,8.95954055100434,7.12105571561175,6.5229306186072,7.3466266672864,19.5433551659561
3.44335781574325,8.95954055100434,6.8959335064055,6.40637332553755,7.22445514552074,15.2641984396555
3.49335781574325,8.95954055100434,6.67081129719925,6.2898160324679,7.10228362375509,11.1075357993318
3.54335781574325,8.95954055100434,6.445689087993,6.17325873939825,6.98011210198943,7.06818173625243
