"","Piaractus mesopotamicus","Oncorhynchus nerka","Oncorhynchus mykiss","Oncorhynchus tshawytscha","Oncorhynchus kisutch","Salvelinus alpinus","Acanthochromis polyacanthus","Chromis atripectoralis","Oreochromis niloticus","Fundulus grandis","Fundulus parvipinnis","Lates niloticus","Lates calcarifer","Coryphaena hippurus","Dicentrarchus labrax","Halichoeres melanurus","Halichoeres miniatus","Thalassoma amblycephalum","Gasterosteus aculeatus","Perca fluviatilis","Centropristis striata","Neogobius melanostomus","Boreogadus saida","Hemiscyllium ocellatum"
"Fundulus parvipinnis",0.0434782608695652,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.826086956521739,0.826086956521739,0.91304347826087,0.956521739130435,1,0.695652173913043,0.695652173913043,0.695652173913043,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.347826086956522,0.304347826086957,0
"Lates niloticus",0.0434782608695652,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.695652173913043,0.695652173913043,0.695652173913043,0.695652173913043,0.695652173913043,1,0.956521739130435,0.91304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.347826086956522,0.304347826086957,0
"Lates calcarifer",0.0434782608695652,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.695652173913043,0.695652173913043,0.695652173913043,0.695652173913043,0.695652173913043,0.956521739130435,1,0.91304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.347826086956522,0.304347826086957,0
"Coryphaena hippurus",0.0434782608695652,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.695652173913043,0.695652173913043,0.695652173913043,0.695652173913043,0.695652173913043,0.91304347826087,0.91304347826087,1,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.347826086956522,0.304347826086957,0
"Dicentrarchus labrax",0.0434782608695652,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,1,0.869565217391304,0.869565217391304,0.869565217391304,0.739130434782609,0.739130434782609,0.739130434782609,0.347826086956522,0.304347826086957,0
"Halichoeres melanurus",0.0434782608695652,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.869565217391304,1,0.956521739130435,0.91304347826087,0.739130434782609,0.739130434782609,0.739130434782609,0.347826086956522,0.304347826086957,0
"Halichoeres miniatus",0.0434782608695652,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.869565217391304,0.956521739130435,1,0.91304347826087,0.739130434782609,0.739130434782609,0.739130434782609,0.347826086956522,0.304347826086957,0
"Thalassoma amblycephalum",0.0434782608695652,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.869565217391304,0.91304347826087,0.91304347826087,1,0.739130434782609,0.739130434782609,0.739130434782609,0.347826086956522,0.304347826086957,0
"Gasterosteus aculeatus",0.0434782608695652,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.739130434782609,0.739130434782609,0.739130434782609,0.739130434782609,1,0.956521739130435,0.91304347826087,0.347826086956522,0.304347826086957,0
"Perca fluviatilis",0.0434782608695652,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.739130434782609,0.739130434782609,0.739130434782609,0.739130434782609,0.956521739130435,1,0.91304347826087,0.347826086956522,0.304347826086957,0
"Centropristis striata",0.0434782608695652,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.739130434782609,0.739130434782609,0.739130434782609,0.739130434782609,0.91304347826087,0.91304347826087,1,0.347826086956522,0.304347826086957,0
"Neogobius melanostomus",0.0434782608695652,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,1,0.304347826086957,0
"Boreogadus saida",0.0434782608695652,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.304347826086957,0.304347826086957,0.304347826086957,0.304347826086957,0.304347826086957,0.304347826086957,0.304347826086957,0.304347826086957,0.304347826086957,0.304347826086957,0.304347826086957,0.304347826086957,0.304347826086957,0.304347826086957,0.304347826086957,0.304347826086957,1,0
"Hemiscyllium ocellatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
