"","Phoxinus phoxinus","Hemibarbus maculatus","Abbottina rivularis","Gobiocypris rarus","Pseudorasbora parva","Sarcocheilichthys parvus","Rhodeus ocellatus","Hemiculter leucisculus","Megalobrama pellegrini","Parabramis pekinensis","Sinibrama taeniatus","Hypophthalmichthys molitrix","Hypophthalmichthys nobilis","Mylopharyngodon piceus","Ctenopharyngodon idella","Opsariichthys bidens","Zacco platypus","Acrossocheilus monticola","Onychostoma simum","Schizothorax wangchiachii","Percocypris pingi","Spinibarbus sinensis","Enteromius neumayeri","Cyprinus carpio","Rhodeus sinensis","Carassius auratus","Procypris rabaudi","Discogobio yunnanensis","Danio rerio","Misgurnus anguillicaudatus","Triplophysa rosa","Metahomaloptera omeiensis","Myxocyprinus asiaticus","Silurus meridionalis","Tachysurus dumerili","Hemibagrus macropterus","Pseudobagrus vachellii","Piaractus mesopotamicus","Oncorhynchus nerka","Oncorhynchus mykiss","Oncorhynchus tshawytscha","Oncorhynchus kisutch","Salvelinus alpinus","Salmo trutta","Pomacentrus amboinensis","Acanthochromis polyacanthus","Oreochromis niloticus","Poecilia reticulata","Gambusia holbrooki","Fundulus grandis","Paralichthys olivaceus","Lates niloticus","Lates calcarifer","Coryphaena hippurus","Channa argus","Dicentrarchus labrax","Caesio cuning","Sciaenops ocellatus","Tautogolabrus adspersus","Halichoeres melanurus","Halichoeres miniatus","Thalassoma amblycephalum","Gasterosteus aculeatus","Perca fluviatilis","Centropristis striata","Siniperca chuatsi","Girella nigricans","Neogobius melanostomus","Rhinogobius giurinus","Boreogadus saida","Hemiscyllium ocellatum","Somniosus microcephalus"
"Danio rerio",0.605633802816901,0.605633802816901,0.605633802816901,0.605633802816901,0.605633802816901,0.605633802816901,0.605633802816901,0.605633802816901,0.605633802816901,0.605633802816901,0.605633802816901,0.605633802816901,0.605633802816901,0.605633802816901,0.605633802816901,0.605633802816901,0.605633802816901,0.605633802816901,0.605633802816901,0.605633802816901,0.605633802816901,0.605633802816901,0.605633802816901,0.605633802816901,0.605633802816901,0.605633802816901,0.605633802816901,0.605633802816901,1,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0,0
"Misgurnus anguillicaudatus",0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,1,0.985915492957746,0.971830985915493,0.957746478873239,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0,0
"Triplophysa rosa",0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.985915492957746,1,0.971830985915493,0.957746478873239,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0,0
"Metahomaloptera omeiensis",0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.971830985915493,0.971830985915493,1,0.957746478873239,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0,0
"Myxocyprinus asiaticus",0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.957746478873239,0.957746478873239,0.957746478873239,1,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0,0
"Silurus meridionalis",0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,1,0.95774647887324,0.95774647887324,0.95774647887324,0.943661971830986,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0,0
"Tachysurus dumerili",0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.95774647887324,1,0.985915492957746,0.95774647887324,0.943661971830986,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0,0
"Hemibagrus macropterus",0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.95774647887324,0.985915492957746,1,0.95774647887324,0.943661971830986,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0,0
"Pseudobagrus vachellii",0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.95774647887324,0.95774647887324,0.95774647887324,1,0.943661971830986,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0,0
"Piaractus mesopotamicus",0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.943661971830986,0.943661971830986,0.943661971830986,0.943661971830986,1,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0,0
"Oncorhynchus nerka",0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,1,0.957746478873239,0.957746478873239,0.957746478873239,0.943661971830986,0.929577464788732,0.563380281690141,0.563380281690141,0.563380281690141,0.563380281690141,0.563380281690141,0.563380281690141,0.563380281690141,0.563380281690141,0.563380281690141,0.563380281690141,0.563380281690141,0.563380281690141,0.563380281690141,0.563380281690141,0.563380281690141,0.563380281690141,0.563380281690141,0.563380281690141,0.563380281690141,0.563380281690141,0.563380281690141,0.563380281690141,0.563380281690141,0.563380281690141,0.563380281690141,0.563380281690141,0,0
