"tempTest","lnBWg","model_predFE","CI_2.5","CI_97.5"
29,-3.5405,-3.04834335277066,-3.41491414647358,-2.37559640561021
30,-3.5405,-3.04920384438873,-3.41221039907739,-2.36913765060676
31,-3.5405,-3.05006433600681,-3.4095066516812,-2.36267889560331
0,-3.0405,-2.67696456888847,-3.20147588343672,-2.15602983314623
1,-3.0405,-2.6755469640951,-3.18870323646268,-2.16393877360851
2,-3.0405,-2.67412935930173,-3.17593058948864,-2.1718477140708
3,-3.0405,-2.67271175450836,-3.1631579425146,-2.17975665453308
4,-3.0405,-2.67129414971499,-3.15038529554055,-2.18766559499536
5,-3.0405,-2.66987654492162,-3.13761264856651,-2.19557453545765
6,-3.0405,-2.66845894012825,-3.12484000159247,-2.20348347591993
7,-3.0405,-2.66704133533488,-3.11206735461843,-2.21139241638221
8,-3.0405,-2.66562373054151,-3.09929470764439,-2.21930135684449
9,-3.0405,-2.66420612574814,-3.08652206067035,-2.21490032414622
10,-3.0405,-2.66278852095477,-3.07374941369631,-2.20645489143571
11,-3.0405,-2.66137091616139,-3.06097676672226,-2.19800945872519
12,-3.0405,-2.65995331136802,-3.04820411974822,-2.18956402601468
13,-3.0405,-2.65853570657465,-3.03543147277418,-2.18111859330417
14,-3.0405,-2.65711810178128,-3.02265882580014,-2.17267316059365
15,-3.0405,-2.65570049698791,-3.0098861788261,-2.16422772788314
16,-3.0405,-2.65428289219454,-3.00028508846623,-2.15578229517263
17,-3.0405,-2.65286528740117,-2.9956966506529,-2.14733686246211
18,-3.0405,-2.6514476826078,-2.99110821283958,-2.1388914297516
19,-3.0405,-2.65003007781443,-2.98651977502626,-2.13044599704109
20,-3.0405,-2.64861247302106,-2.98193133721293,-2.12200056433057
21,-3.0405,-2.64719486822768,-2.97734289939961,-2.11355513162006
22,-3.0405,-2.64577726343431,-2.97275446158629,-2.10510969890955
23,-3.0405,-2.64435965864094,-2.96816602377296,-2.09666426619903
24,-3.0405,-2.64294205384757,-2.96357758595964,-2.08821883348852
25,-3.0405,-2.6415244490542,-2.95898914814632,-2.07977340077801
26,-3.0405,-2.64010684426083,-2.95440071033299,-2.07132796806749
27,-3.0405,-2.63868923946746,-2.94981227251967,-2.06288253535698
28,-3.0405,-2.63727163467409,-2.94522383470635,-2.05443710264647
29,-3.0405,-2.63585402988072,-2.94063539689302,-2.04599166993595
30,-3.0405,-2.63443642508735,-2.9360469590797,-2.03754623722544
31,-3.0405,-2.63301882029397,-2.93145852126638,-2.02910080451493
0,-2.5405,-2.33054004193035,-2.81340045285967,-1.85550157013365
1,-2.5405,-2.32684434072554,-2.79884980379565,-1.86072474208162
2,-2.5405,-2.32314863952072,-2.78429915473163,-1.8659479140296
3,-2.5405,-2.31945293831591,-2.7697485056676,-1.87117108597757
4,-2.5405,-2.3157572371111,-2.75519785660358,-1.87639425792554
5,-2.5405,-2.31206153590628,-2.74064720753956,-1.88161742987351
6,-2.5405,-2.30836583470147,-2.72609655847554,-1.88684060182149
7,-2.5405,-2.30467013349666,-2.71154590941151,-1.89206377376946
8,-2.5405,-2.30097443229185,-2.69699526034749,-1.89728694571743
9,-2.5405,-2.29727873108703,-2.68244461128347,-1.9025101176654
10,-2.5405,-2.29358302988222,-2.66789396221945,-1.90773328961337
11,-2.5405,-2.28988732867741,-2.65334331315542,-1.90416492177808
12,-2.5405,-2.28619162747259,-2.6387926640914,-1.8937328113605
13,-2.5405,-2.28249592626778,-2.62424201502738,-1.88330070094293
14,-2.5405,-2.27880022506297,-2.60969136596336,-1.87286859052535
15,-2.5405,-2.27510452385815,-2.59514071689934,-1.86243648010777
16,-2.5405,-2.27140882265334,-2.58059006783531,-1.85200436969019
17,-2.5405,-2.26771312144853,-2.56603941877129,-1.84157225927262
18,-2.5405,-2.26401742024371,-2.55148876970727,-1.83114014885504
19,-2.5405,-2.2603217190389,-2.53693812064325,-1.82070803843746
20,-2.5405,-2.25662601783409,-2.5246148013866,-1.81027592801989
21,-2.5405,-2.25293031662927,-2.51814167315614,-1.79984381760231
22,-2.5405,-2.24923461542446,-2.51166854492568,-1.78941170718473
23,-2.5405,-2.24553891421965,-2.50519541669522,-1.77897959676716
24,-2.5405,-2.24184321301484,-2.49872228846477,-1.76854748634958
25,-2.5405,-2.23814751181002,-2.49224916023431,-1.758115375932
